Decimal		Binary		Hexadecimal
-39		11111111111111011001		FFFFFFFFFFFFFFD9
-36		11111111111111011100		FFFFFFFFFFFFFFDC
8		1000		8
34		100010		22
17		10001		11
49		110001		31
5		101		5
0		0		0
33		100001		21
12		1100		C
-6		11111111111111111010		FFFFFFFFFFFFFFFA
27		11011		1B
-4		11111111111111111100		FFFFFFFFFFFFFFFC
-38		11111111111111011010		FFFFFFFFFFFFFFDA
26		11010		1A
49		110001		31
29		11101		1D
42		101010		2A
-16		11111111111111110000		FFFFFFFFFFFFFFF0
34		100010		22
20		10100		14
0		0		0
25		11001		19
45		101101		2D
3		11		3
-46		11111111111111010010		FFFFFFFFFFFFFFD2
-46		11111111111111010010		FFFFFFFFFFFFFFD2
29		11101		1D
33		100001		21
29		11101		1D
26		11010		1A
-5		11111111111111111011		FFFFFFFFFFFFFFFB
-36		11111111111111011100		FFFFFFFFFFFFFFDC
12		1100		C
45		101101		2D
-50		11111111111111001110		FFFFFFFFFFFFFFCE
0		0		0
-6		11111111111111111010		FFFFFFFFFFFFFFFA

Execution time: 0.003983974456787109
